INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:19,005 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1739825269.852353
DEBUG 2025-02-19 21:56:19,005 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\log.py first seen with mtime 1739825269.9293535
DEBUG 2025-02-19 21:56:19,006 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework_jwt\authentication.py first seen with mtime 1739826715.807797
DEBUG 2025-02-19 21:56:19,006 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\timeouts.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,007 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1739825269.9003537
DEBUG 2025-02-19 21:56:19,007 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1739825268.996197
DEBUG 2025-02-19 21:56:19,007 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1739825269.868353
DEBUG 2025-02-19 21:56:19,008 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1739825269.8043528
DEBUG 2025-02-19 21:56:19,008 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\mixins.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,008 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1739825269.9323528
DEBUG 2025-02-19 21:56:19,009 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1739825269.8463533
DEBUG 2025-02-19 21:56:19,010 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,010 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\sysconfig.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:19,010 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\hmac.py first seen with mtime 1666629248.0
